post_id,meta_key,meta_value
77582,_ywgc_amount_total,150
77583,_ywgc_amount_total,150
77584,_ywgc_amount_total,150
77585,_ywgc_amount_total,200
77586,_ywgc_amount_total,250
77587,_ywgc_amount_total,100
77588,_ywgc_amount_total,100
77589,_ywgc_amount_total,50
77590,_ywgc_amount_total,50
77591,_ywgc_amount_total,20
77592,_ywgc_amount_total,20
77593,_ywgc_amount_total,20
77594,_ywgc_amount_total,20
77595,_ywgc_amount_total,20
77596,_ywgc_amount_total,75
77597,_ywgc_amount_total,300
77598,_ywgc_amount_total,125
77599,_ywgc_amount_total,200
77600,_ywgc_amount_total,100
77601,_ywgc_amount_total,250
77602,_ywgc_amount_total,100
77603,_ywgc_amount_total,100
77604,_ywgc_amount_total,100
77605,_ywgc_amount_total,125
77606,_ywgc_amount_total,100
77608,_ywgc_amount_total,100
77609,_ywgc_amount_total,200
77610,_ywgc_amount_total,450
77611,_ywgc_amount_total,300
77612,_ywgc_amount_total,100
77613,_ywgc_amount_total,100
77614,_ywgc_amount_total,180
77615,_ywgc_amount_total,150
77616,_ywgc_amount_total,500
77617,_ywgc_amount_total,150
77618,_ywgc_amount_total,200
77619,_ywgc_amount_total,100
77620,_ywgc_amount_total,150
77621,_ywgc_amount_total,200
77622,_ywgc_amount_total,150
77623,_ywgc_amount_total,250
77624,_ywgc_amount_total,300
77625,_ywgc_amount_total,150
77626,_ywgc_amount_total,100
77627,_ywgc_amount_total,350
77628,_ywgc_amount_total,300
77629,_ywgc_amount_total,225
77630,_ywgc_amount_total,150
77631,_ywgc_amount_total,250
77632,_ywgc_amount_total,100
77633,_ywgc_amount_total,500
77634,_ywgc_amount_total,125
77635,_ywgc_amount_total,100
77636,_ywgc_amount_total,200
77637,_ywgc_amount_total,500
77638,_ywgc_amount_total,150
77639,_ywgc_amount_total,200
77640,_ywgc_amount_total,300
77641,_ywgc_amount_total,400
77642,_ywgc_amount_total,125
77643,_ywgc_amount_total,100
77644,_ywgc_amount_total,150
77645,_ywgc_amount_total,250
77646,_ywgc_amount_total,200
77647,_ywgc_amount_total,100
77648,_ywgc_amount_total,100
77649,_ywgc_amount_total,75
77650,_ywgc_amount_total,100
77651,_ywgc_amount_total,50
77652,_ywgc_amount_total,100
77653,_ywgc_amount_total,100
77654,_ywgc_amount_total,150
77655,_ywgc_amount_total,150
77656,_ywgc_amount_total,175
77657,_ywgc_amount_total,250
77658,_ywgc_amount_total,300
77659,_ywgc_amount_total,250
77660,_ywgc_amount_total,250
77661,_ywgc_amount_total,150
77662,_ywgc_amount_total,100
77663,_ywgc_amount_total,150
77664,_ywgc_amount_total,150
77665,_ywgc_amount_total,150
77666,_ywgc_amount_total,100
77667,_ywgc_amount_total,200
77668,_ywgc_amount_total,200
77669,_ywgc_amount_total,100
77670,_ywgc_amount_total,100
77671,_ywgc_amount_total,400
77672,_ywgc_amount_total,200
77673,_ywgc_amount_total,500
77674,_ywgc_amount_total,100
77675,_ywgc_amount_total,125
77676,_ywgc_amount_total,150
77677,_ywgc_amount_total,1001
77678,_ywgc_amount_total,100
77679,_ywgc_amount_total,400
77680,_ywgc_amount_total,125
77681,_ywgc_amount_total,200
77682,_ywgc_amount_total,400
77683,_ywgc_amount_total,200
77684,_ywgc_amount_total,300
77685,_ywgc_amount_total,200
77686,_ywgc_amount_total,250
77687,_ywgc_amount_total,225
77688,_ywgc_amount_total,300
77689,_ywgc_amount_total,200
77690,_ywgc_amount_total,150
77691,_ywgc_amount_total,150
77692,_ywgc_amount_total,1000
77693,_ywgc_amount_total,175
77694,_ywgc_amount_total,200
77695,_ywgc_amount_total,200
77696,_ywgc_amount_total,300
77697,_ywgc_amount_total,100
77698,_ywgc_amount_total,500
77699,_ywgc_amount_total,150
77700,_ywgc_amount_total,100
77701,_ywgc_amount_total,100
77702,_ywgc_amount_total,300
77703,_ywgc_amount_total,100
77704,_ywgc_amount_total,200
77705,_ywgc_amount_total,200
77706,_ywgc_amount_total,150
77707,_ywgc_amount_total,150
77708,_ywgc_amount_total,150
77709,_ywgc_amount_total,100
77710,_ywgc_amount_total,200
77711,_ywgc_amount_total,150
77713,_ywgc_amount_total,100
77714,_ywgc_amount_total,160
77715,_ywgc_amount_total,300
77716,_ywgc_amount_total,350
77717,_ywgc_amount_total,100
77718,_ywgc_amount_total,400
77719,_ywgc_amount_total,100
77720,_ywgc_amount_total,400
77721,_ywgc_amount_total,350
77722,_ywgc_amount_total,200
